PLAYER			ROLE
------			----

KD Karthik 		Wicketkeeper batsman
PP Chawla		Allrounder
TK Curran		Bowling allrounder
CS Delport		Allrounder
IR Jaggi		Batsman
MG Johnson		Bowler
Kuldeep Yadav		Bowler
CA Lynn			Batsman
KL Nagarkoti		Bowler
SP Narine		Bowler
N Rana			Middle-order batsman
AD Russell		Allrounder
JPR Scantlebury-Searles	Bowler
Shivam Mavi		Allrounder
Shubman Gill		Opening batsman
RK Singh		Middle-order batsman
RV Uthappa		Batsman
R Vinay Kumar		Bowler
AV Wankhade		Middle-order batsman
